Book Name,Author,Rating,Price,Description,Number of Reviews,Listening Minutes,Genres,Review_Group,Author_Book_Count,Author_Popularity_Group
The Girl on the Train,Paula Hawkins,4.0,888.0,"Rachel catches the same commuter train every morning. She knows it will wait at the same signal each time, overlooking a row of back gardens. She's even started to feel like she knows the people who live in one of the houses. Jess and Jason, she calls them. Their life - as she sees it - is perfect. If only Rachel could be that happy. ",70122.0,657.0,"['Psychological Thrillers', 'Crime Thrillers', 'Crime, Thriller & Mystery (Books)']",Very High,1,Low
The Fault in Our Stars,John Green,4.5,670.0,"Audie Award Nominee, Best Teens Category, 2013",43869.0,434.0,"['Contemporary Romance for Teens', 'Fiction on Illness & Health Problems for Teens', 'Fiction on Death & Dying for Teens']",Very High,4,Medium
The Nightingale,Kristin Hannah,4.8,323.0,"Two sisters. One must be brave. One should be afraid. Bravery, courage, fear, and love in a time of war. Despite their differences sisters Viann and Isabelle have always been close. ",40958.0,1039.0,"['World War II Historical Fiction', 'War & Military Fiction', ""Women's Fiction""]",Very High,1,Low
Fifty Shades of Grey: Book One of the Fifty Shades Trilogy,E. L. James,3.8,1093.0,,38310.0,,,Very High,4,Medium
The Martian,Andy Weir,4.7,1171.0,"A brand-new production of Andy Weir’s modern sci-fi classic, narrated by the incomparable Wil Wheaton, and featuring bonus content from the writings of Mark Watney.",33293.0,659.0,"['Hard Science Fiction', 'Adventure Science Fiction', 'Suspense']",Very High,2,Medium
The Alchemist: A Fable About Following Your Dream,Paulo Coelho,4.6,10378.0,"
By completing your purchase you agree to Audible’s  Conditions of Use, Amazon's Privacy Notice and if applicable Audible's Recurring Payment Terms.
",28237.0,240.0,"['Metaphysical & Visionary Fiction', 'Literary Fiction', 'Crime, Thriller & Mystery (Books)']",Very High,9,High
Me Before You,Jojo Moyes,4.6,827.0,"Romantic, poignant and endearingly honest throughout, Me Before You is the bittersweet tale of an unusual but powerful love. Often funny, sometimes bitterly sad, it won't leave you the same person you were when you began. ",27040.0,997.0,"['Romantic Comedy', ""Women's Fiction"", 'Contemporary Romance']",Very High,3,Medium
Inferno,Dan Brown,4.4,1093.0,"Harvard symbologist Robert Langdon wakes up in Florence disoriented and confused. He doesn't remember how he got there. But in an international mystery that takes him across Europe to save the world from a terrifying fate, he must decipher codes hidden in Renaissance artworks with only a few lines from Dante's Inferno to guide him. ",26244.0,1032.0,"['Suspense', 'Literature & Fiction', 'Crime, Thriller & Mystery (Books)']",Very High,4,Medium
"Outlander: Outlander, Book 1",Diana Gabaldon,4.6,1172.0,"In 1945, former combat nurse Claire Randall returns from World War II and joins her husband for a second honeymoon. Their blissful reunion is shattered when she touches a boulder in an ancient stone ruin and is instantly transported to 1743 Scotland, a place torn by war and raiding border clans. Will Claire find her way back to her own time, or is her destiny forever linked with Clan MacKenzie and the gallant James Fraser?",22631.0,1958.0,"['Historical Fantasy', 'Fantasy Romance', 'Contemporary Fantasy']",Very High,1,Low
Think and Grow Rich,Napoleon Hill,4.5,166.0,"
By completing your purchase you agree to Audible’s  Conditions of Use, Amazon's Privacy Notice and if applicable Audible's Recurring Payment Terms.
",22448.0,615.0,"['Economics', 'Business Motivation & Self-Improvement', 'Economics Books']",Very High,9,High
